9.200000e-02,-2.329530e+00,108,-2.338965e+00,'A'
2.040000e-01,-2.341793e+00,1.653333e+02,-2.377501e+00,'B'
1.220000e-01,-2.334969e+00,1.033333e+02,-2.268986e+00,'A'
2.500000e-01,-2.426867e+00,135,-2.383088e+00,'A'     
2.035000e-01,-2.155498e+00,1.694000e+02,-2.296585e+00,'B'
1.680000e-01,-2.200198e+00,1.281667e+02,-2.348000e+00,'E'
9.771429e-02,-2.267202e+00,1.242000e+02,-2.142528e+00,'A'
2.425000e-01,-2.369893e+00,175,-2.324315e+00,'E'     
1.732500e-01,-2.438077e+00,1.478000e+02,-2.354079e+00,'E'
1.608333e-01,-2.175172e+00,1.432222e+02,-2.228253e+00,'E'
1.190000e-01,-2.203094e+00,1.217500e+02,-2.208053e+00,'A'
1.340000e-01,-2.170580e+00,1.355000e+02,-2.238912e+00,'D'     
9.394118e-02,-2.037391e+00,9.923077e+01,-2.044483e+00,'B'
7.460000e-02,-1.851529e+00,8.158333e+01,-2.093064e+00,'C'
1.323750e-01,-2.157964e+00,1.227143e+02,-2.197022e+00,'D'
1.262000e-01,-2.216237e+00,123,-2.113326e+00,'B'     
1.262222e-01,-2.085171e+00,1.247368e+02,-1.995401e+00,'C'
1.160000e-01,-2.160165e+00,127,-2.208473e+00,'D'
1.336154e-01,-2.158581e+00,1.523125e+02,-2.174704e+00,'C'